Temps;EA0
8.526;1.33956949412823
8.547;1.40459713339806
8.568;1.45962052047253
8.589;1.48463115096092
8.61;1.49463540315628
8.631;1.47962902486324
8.652;1.44961626827717
8.673;1.3945928812027
8.694;1.32456311583519
8.715;1.23452484607697
8.736;1.13948445022106
8.757;1.0094291716814
8.778;0.85936538875103
8.799;0.704299479722977
8.82;0.549233570694923
8.841;0.389165535569191
8.862;0.224095374345779
8.883;0.0490209609270096
8.904;-0.12605345249176
8.925;-0.291123613715172
8.946;-0.446189522743225
8.967;-0.596253305673599
8.988;-0.741314962506294
9.009;-0.891378745436668
9.03;-1.05644890666008
9.051;-1.1965084373951
9.072;-1.35657647252083
9.093;-1.48663175106049
9.114;-1.59167639911175
9.135;-1.68671679496765
9.156;-1.7717529386282
9.177;-1.85178695619106
9.198;-1.89680609107018
9.219;-1.93182097375393
9.24;-1.94682735204697
9.261;-1.94682735204697
9.282;-1.91681459546089
9.303;-1.87679758667946
9.324;-1.80676782131195
9.345;-1.73173592984676
9.366;-1.64669978618622
9.387;-1.54165513813496
9.408;-1.41660198569298
9.429;-1.28154458105564
9.45;-1.13148079812527
9.471;-0.986419141292572
9.492;-0.82635110616684
9.513;-0.681289449334145
9.534;-0.53622779250145
9.555;-0.391166135668755
9.576;-0.236100226640701
9.597;-0.0710300654172897
9.618;0.099042221903801
9.639;0.269114509224892
9.66;0.429182544350624
9.681;0.574244201183319
9.702;0.729310110211372
9.723;0.874371767044067
9.744;0.999424919486046
9.765;1.11947594583035
9.786;1.21451634168625
9.807;1.28454610705376
9.828;1.34457162022591
9.849;1.38458862900734
9.87;1.40459713339806
9.891;1.40959925949574
9.912;1.3945928812027
9.933;1.35457587242126
9.954;1.29955248534679
9.975;1.22952271997929
9.996;1.14448657631874
10.017;1.02943767607212
10.038;0.899382397532463
10.059;0.759322866797447
10.08;0.619263336062431
10.101;0.469199553132057
10.122;0.314133644104004
10.143;0.144061356782913
10.164;-0.0210088044404984
10.185;-0.18607896566391
10.206;-0.341144874691963
10.227;-0.486206531524658
10.248;-0.626266062259674
10.269;-0.76632559299469
10.29;-0.916389375925064
10.311;-1.06645315885544
10.332;-1.20651268959045
10.353;-1.34657222032547
10.374;-1.46662324666977
10.395;-1.57166789472103
10.416;-1.66170616447926
10.437;-1.73173592984676
10.458;-1.79176144301891
10.479;-1.84678483009338
10.5;-1.87179546058178
10.521;-1.87179546058178
10.542;-1.8667933344841
10.563;-1.83177845180035
10.584;-1.78675931692123
10.605;-1.72173167765141
10.626;-1.6517019122839
10.647;-1.56666576862335
10.668;-1.46162112057209
10.689;-1.33656796813011
10.71;-1.20151056349278
10.731;-1.05644890666008
10.752;-0.916389375925064
10.773;-0.76632559299469
10.794;-0.626266062259674
10.815;-0.496210783720016
10.836;-0.346147000789642
10.857;-0.196083217859268
10.878;-0.0310130566358566
10.899;0.129054978489876
10.92;0.289123013615608
10.941;0.434184670448303
10.962;0.584248453378677
10.983;0.724307984113693
11.004;0.854363262653351
11.025;0.97441428899765
11.046;1.08446106314659
11.067;1.17449933290482
11.088;1.23952697217464
11.109;1.28954823315144
11.13;1.31956098973751
11.151;1.33456736803055
11.172;1.33456736803055
11.193;1.30955673754215
11.214;1.26953972876072
11.235;1.21951846778393
11.256;1.14448657631874
11.277;1.04444405436516
11.298;0.934397280216217
