Temps;EA0
8.715;-0.101042822003365
8.736;0.0740315914154053
8.757;0.254108130931854
8.778;0.439186796545982
8.799;0.609259083867073
8.82;0.774329245090485
8.841;0.949403658509254
8.862;1.12447807192802
8.883;1.28454610705376
8.904;1.42460563778877
8.925;1.56466516852379
8.946;1.68471619486809
8.967;1.80476722121239
8.988;1.90480974316597
9.009;1.98484376072884
9.03;2.05487352609634
9.051;2.10989691317081
9.072;2.14491179585457
9.093;2.15491604804993
9.114;2.15991817414761
9.135;2.13990966975689
9.156;2.10989691317081
9.177;2.04486927390099
9.198;1.97984163463116
9.219;1.88980336487293
9.24;1.78976084291935
9.261;1.66970981657505
9.282;1.54965879023075
9.303;1.41460138559341
9.324;1.26453760266304
9.345;1.10446956753731
9.366;0.929395154118538
9.387;0.759322866797447
9.408;0.589250579476356
9.429;0.424180418252945
9.45;0.234099626541138
9.471;0.0490209609270096
9.492;-0.116049200296402
9.513;-0.276117235422134
9.534;-0.431183144450188
9.555;-0.571242675185204
9.576;-0.736312836408615
9.597;-0.901382997632027
9.618;-1.06145103275776
9.639;-1.23652544617653
9.66;-1.3865892291069
9.681;-1.52164663374424
9.702;-1.6517019122839
9.723;-1.77675506472588
9.744;-1.8918039649725
9.765;-1.99684861302376
9.786;-2.07188050448894
9.807;-2.13690814375877
9.828;-2.18692940473557
9.849;-2.23194853961468
9.87;-2.25195704400539
9.891;-2.25195704400539
9.912;-2.25195704400539
9.933;-2.22194428741932
9.954;-2.18692940473557
9.975;-2.13190601766109
9.996;-2.07188050448894
10.017;-1.9868443608284
10.038;-1.88179971277714
10.059;-1.76675081253052
10.08;-1.63169340789318
10.101;-1.5066402554512
10.122;-1.36658072471619
10.143;-1.21651694178581
10.164;-1.04144252836704
10.185;-0.88137449324131
10.206;-0.721306458115578
10.227;-0.556236296892166
10.248;-0.41617676615715
10.269;-0.261110857129097
10.29;-0.101042822003365
10.311;0.0690294653177261
10.332;0.244103878736496
10.353;0.429182544350624
10.374;0.609259083867073
10.395;0.769327118992806
10.416;0.934397280216217
10.437;1.11447381973267
10.458;1.26953972876072
10.479;1.41460138559341
10.5;1.54965879023075
10.521;1.67971406877041
10.542;1.78475871682167
10.563;1.89480549097061
10.584;1.97483950853348
10.605;2.03986714780331
10.626;2.0898884087801
10.647;2.12490329146385
10.668;2.13990966975689
10.689;2.13990966975689
10.71;2.12490329146385
10.731;2.08488628268242
10.752;2.02486076951027
10.773;1.95983313024044
10.794;1.87979911267757
10.815;1.77475446462631
10.836;1.66470769047737
10.857;1.53965453803539
10.878;1.3945928812027
10.899;1.25953547656536
10.92;1.08946318924427
10.941;0.91939090192318
10.962;0.754320740699768
10.983;0.584248453378677
11.004;0.414176166057587
11.025;0.229097500443459
11.046;0.0490209609270096
11.067;-0.116049200296402
11.088;-0.271115109324455
11.109;-0.426181018352509
11.13;-0.576244801282883
11.151;-0.736312836408615
11.172;-0.896380871534348
11.193;-1.05644890666008
11.214;-1.22652119398117
11.235;-1.37658497691154
11.256;-1.51164238154888
